id,profile_pic_url,full_name,occupation,headline,summary,1st Recent Experience in Years,Experience,Category 1,Category 2,Category 3
speaker_0,https://media-exp1.licdn.com/dms/image/C5603AQE79r9A2y3wzA/profile-displayphoto-shrink_200_200/0/1604682019211?e=1652918400&v=beta&t=fN4Zr2vPM5G5tmo6y3vJOHzCSQTckA0MT17Emk1JOlU,Aaron Copley,Cloud Operations Lead (Restricted US State Government Accounts) at Unisys,Cloud Operations Lead (Restricted US State Government Accounts),"Honorably discharged United States Marine Corp veteran with several years of experience in various technical environments. These include cloud services, system administration, network administration, and database management. Strong leadership abilities and characteristics such as planning, risk management, and critical thinking. Experience in developing and deploying IaaS PaaS and SaaS solutions within the Azure cloud on enterprise accounts. Experience implementing Microsoft Azure best practices. Deep passion for educating by teaching, training, and mentoring to build strong and efficient teams. Experience supported by a Bachelor of Science in Information Technology, and Master of Science in IT Management (Expected late 2022) along with the AZ-900 certification. Dedicated to lifelong learning of new technologies and skills to continue growth in my profession.",2.5506849315068494,Cloud Operations Lead (Restricted US State Government Accounts),Politics,,
speaker_1,https://media-exp1.licdn.com/dms/image/C4E03AQGL1N4_YKFa9g/profile-displayphoto-shrink_200_200/0/1517754811486?e=1652918400&v=beta&t=AwJfXYVZfH2MwGN_O-sdI-rVcYef5tBlfGbR3gY-D-c,Aaron Chalek,Senior Policy Advisor at Blue Cross Blue Shield of Massachusetts,Senior Policy Advisor,"Focused on domestic health care policy and analysis. Operations/management experience with mission-driven, fast-growing organizations.Proven skills in building relationships with business executives and state/federal public offices. Commitment to national service and community engagement.",5.219178082191781,Senior Policy Advisor,Politics,,
speaker_2,https://media-exp1.licdn.com/dms/image/C5603AQEHGkgrSkukYg/profile-displayphoto-shrink_200_200/0/1553321808400?e=2147483647&v=beta&t=lIOCr-iUvdQNQagiEMyiPXcFNmI4jS-au6f2LctgkRc,Aaron Chen,Campaign Specialist at Lister Digital,"M.S. Candidate in Sports Product Management, University of Oregon","Former digital marketer with interests in merchandising, buying and e-commerce in the sportswear market. 
Efficient team player that leads by example and believes that “action speaks louder than words”",1.5808219178082192,Campaign Specialist,Politics,,
speaker_3,https://media-exp1.licdn.com/dms/image/C4E03AQExDENiyet5XA/profile-displayphoto-shrink_200_200/0/1516873134462?e=1652918400&v=beta&t=vrRIuoic0OIEcVUyWn1X8Pve1nJGzQAnqfHPaM4IOik,Aarish Rojiani,Development Studies and Public Policy Student at Brown University,Development Studies and Public Policy Undergraduate Student at Brown University,,9.221917808219178,Development Studies and Public Policy Student,Politics,Academic,
speaker_4,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aakash Jani,Senior Analyst - Regulatory Capital Policy at Goldman Sachs,Senior Analyst at Goldman Sachs,,1.8821917808219173,Senior Analyst - Regulatory Capital Policy,Politics,,
speaker_5,https://media-exp1.licdn.com/dms/image/C4E03AQFpfA-8hm3SpA/profile-displayphoto-shrink_200_200/0/1588270615484?e=1652918400&v=beta&t=-ZrwVCcU-SyEVIo0_YZ6hwB66MXaMB1xLXZGmP1DOSo,Aapta Garg,Sr. Policy Advocate for Gender at CARE,Gender Specialist | Project Design | Grants Management | Advocacy | Social Impact,,1.797260273972603,Sr. Policy Advocate for Gender,Politics,,
speaker_6,https://media-exp1.licdn.com/dms/image/C5603AQFQ0b9lgfLSVg/profile-displayphoto-shrink_200_200/0/1520416504005?e=2147483647&v=beta&t=DfMV9fpBq5x2pJ4zpbsuojXZz2ogLMN5lQek3wvJR0A,Axel Lemus,"Resilience Intern, Seoul Policy Centre at UNDP",Resilience Intern at the UNDP Seoul Policy Centre,Recent Master of Public Policy graduate with a keen interest in disaster resilience environmental policy. Experience in the UN Development System and South Korea’s international cooperation landscape,2.1315068493150684,"Resilience Intern, Seoul Policy Centre",Politics,,
speaker_7,https://media-exp1.licdn.com/dms/image/C4E03AQGxgPTtTkZKbA/profile-displayphoto-shrink_200_200/0/1542748396975?e=1652918400&v=beta&t=dST71aqwix0q5pTarU-B8eag8pKUcZ79RAnlXBq6_5s,Aahil Merchant,"Examiner-in-Residence, Supervisory Policy and Risk Analysis at Federal Reserve Bank of St. Louis","Examiner-in-Residence, Supervisory Policy and Risk Analysis at Federal Reserve Bank of St. Louis","I am interested in the conditions that led to the financial crisis and the implementation of new policies and accounting standards that will protect consumers and investors from another crisis. I have a strong desire to learn, and I am currently working with Supervisory Policy and Risk Analysis team at the Federal Reserve Bank of St. Louis to research and write briefs on economic and banking policy.",3.2164383561643834,"Examiner-in-Residence, Supervisory Policy and Risk Analysis",Politics,,
speaker_8,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Pauline Acquah,"Financing for Sustainable Development, Policy Analysis and Strategy Unit at OECD - OCDE",MA & MBA Candidate at Yale University,,0.4164383561643835,"Financing for Sustainable Development, Policy Analysis and Strategy Unit",Politics,,
speaker_9,https://media-exp1.licdn.com/dms/image/C4E03AQG7R6Detfj1fQ/profile-displayphoto-shrink_200_200/0/1615533228021?e=1652918400&v=beta&t=ZoXmqfvrGuNAQHLlB5fyoJ5XWgbnlMk7X49dgddS174,Ahmad Hamdan,Policy and Research Intern at Cue Health,MPA Candidate at University of Washington • Policy and Research Intern at Cue Health,MPA student at UW with extensive writing/research skills and a customer service background looking to attain professional policy and research experience and pursue a career in the political/legal fields.,1.8821917808219173,Policy and Research Intern,Politics,Academic,
